contents,Es_keV,y_m,PrReach,uPrReach,PrDet,uPrDet
f,140,0,1.2305e-4,8.211106315985988e-7,8.3675e-5,6.474752523098857e-7
f,155,-15,3.3399999999999995e-8,2.807093413408253e-9,2.2799999999999996e-8,2.1353674634591586e-9
f,155,-12.5,5.383337999999999e-8,3.166543285238592e-9,3.6666647999999994e-8,2.472074306015324e-9
f,155,-10,7.0333323e-8,3.6210390388609177e-9,5.016666699999999e-8,2.891657725374066e-9
f,155,-7.5,1.2350000000000001e-7,8.261470807459167e-9,8.1e-8,6.3640045885040024e-9
f,155,-5,2.12e-7,1.0931893437323655e-8,1.42e-7,8.426168188447224e-9
f,155,-2.5,3.585e-6,1.4345211795578344e-7,2.2549999999999996e-6,1.0734770011975103e-7
f,155,-2,1.1049999999999998e-5,2.490595035960282e-7,7.1150000000000005e-6,1.8955130524280225e-7
f,155,-1.5,3.3320000000000006e-5,4.289572420524568e-7,2.1944999999999997e-5,3.3236190973094373e-7
f,155,-1,8.162e-5,6.686925428537767e-7,5.4625e-5,5.237687397523358e-7
f,155,-0.5,1.3753000000000002e-4,8.646561648010729e-7,9.2635e-5,6.820462046987726e-7
f,155,0,1.63605e-4,9.424390581968682e-7,1.10575e-4,7.444952548878333e-7
f,177.5,-15,4.8399999999999997e-8,3.3107985234985226e-9,3.2599999999999994e-8,2.553479794398225e-9
f,177.5,-12.5,7.88333615e-8,3.88388176521918e-9,5.2000022999999987e-8,2.9440346779762315e-9
f,177.5,-10,1.1399988950000001e-7,4.594528504387752e-9,7.950001649999998e-8,3.640153044723005e-9
f,177.5,-7.5,1.675e-7,9.500030964423222e-9,1.19e-7,7.713582276899624e-9
f,177.5,-5,2.67e-7,1.2186039692820635e-8,1.8099999999999997e-7,9.512700135082572e-9
f,177.5,-2.5,5.390000000000001e-6,1.7550468455998547e-7,3.355e-6,1.3124981313224794e-7
f,177.5,-2,1.6605e-5,3.04682879371733e-7,1.0585000000000001e-5,2.3154254636567335e-7
f,177.5,-1.5,5.0245000000000004e-5,5.25094774777611e-7,3.295499999999999e-5,4.0726847177783113e-7
f,177.5,-1,1.1867000000000001e-4,8.040592325388722e-7,7.9155e-5,6.307105422220245e-7
f,177.5,-0.5,1.9533499999999999e-4,1.0275672461981503e-6,1.3121999999999995e-4,8.120273529795657e-7
f,177.5,0,2.3057000000000004e-4,1.115787019502938e-6,1.5486999999999999e-4,8.823876815963604e-7
f,200,-15,6.38e-8,3.789612579512581e-9,4.279999999999999e-8,2.9258168017837347e-9
f,200,-12.5,9.966668150000001e-8,4.275110099229916e-9,6.7833295e-8,3.370594122035136e-9
f,200,-10,1.5249996799999999e-7,5.225275605716411e-9,1.05000013e-7,4.190200281171504e-9
f,200,-7.5,2.22e-7,1.1090551662338534e-8,1.5550000000000004e-7,8.817533036087816e-9
f,200,-5,3.8149999999999997e-7,1.441228004090609e-8,2.57e-7,1.1422735352467026e-8
f,200,-2.5,7.670000000000001e-6,2.0517092328288139e-7,4.784999999999998e-6,1.5580802256142012e-7
f,200,0,3.0546e-4,1.2816664661584151e-6,2.0438500000000007e-4,1.0136818372065763e-6
f,250,-15,1.1380000000000001e-7,5.055236457140258e-9,7.599999999999999e-8,3.898585292641422e-9
f,250,-12.5,1.7383334799999998e-7,5.6446956494285075e-09,1.14500013e-7,4.3875974389628605e-9
f,250,-10,2.6416670099999996e-7,6.969409646342464e-9,1.8116663300000002e-7,5.515543727350529e-9
f,250,-7.5,4.405e-7,1.532013314449323e-8,2.944999999999999e-7,1.2176531402866745e-8
f,250,-5,7.68e-7,2.0405974564572992e-8,4.970000000000001e-7,1.5860090803806897e-8
f,250,-2.5,1.3660000000000005e-5,2.7341799403020276e-7,8.370000000000001e-6,2.0614748335233201e-7
f,250,-2,4.0390000000000005e-5,4.6781610603954196e-7,2.587e-5,3.616387268314194e-7
f,250,-1.5,1.1595999999999998e-4,7.891117389650847e-7,7.57e-5,6.187390817576098e-7
f,250,-1,2.6022499999999994e-4,1.1798466581322125e-6,1.7178500000000004e-4,9.307066543762596e-7
f,250,-0.5,4.2174000000000004e-4,1.499233030766732e-6,2.80715e-4,1.189142426025264e-6
f,250,0,4.9203e-4,1.618488587359979e-6,3.2797500000000004e-4,1.2847172695642027e-6
f,300,-15,1.552e-7,5.8378620405418975e-9,1.0200000000000001e-7,4.552171851281539e-9
f,300,-12.5,2.6099995850000003e-7,6.888113356094607e-9,1.72499945e-7,5.372462960502464e-9
f,300,-10,4.165000445000001e-7,8.616294068500638e-9,2.7749997799999996e-7,6.833836794238852e-9
f,300,-7.5,7.170000000000001e-7,1.9520031224360273e-8,4.800000000000002e-7,1.5572007035864067e-8
f,300,-5,1.2660000000000005e-6,2.6048016816400826e-8,8.270000000000003e-7,2.0454283985084885e-8
f,300,-2.5,2.1424999999999996e-5,3.410301820425869e-7,1.3485e-5,2.618072389048859e-7
f,300,-2,6.299999999999997e-5,5.815147631288048e-7,4.041499999999999e-5,4.5275609877394255e-7
f,300,-1.5,1.7343000000000008e-4,9.608985238224953e-7,1.1277999999999996e-4,7.552355319310989e-7
f,300,-1,3.8182000000000016e-4,1.4239033932973649e-6,2.5091499999999994e-4,1.1249263584537434e-6
f,300,-0.5,6.10045e-4,1.797303137487594e-6,4.040149999999999e-4,1.4278949679728724e-6
f,300,0,7.095650000000001e-4,1.9386007657058996e-6,4.7124e-4,1.54061203947084e-6
f,350,-15,2.2239999999999998e-7,6.984782326858869e-9,1.4439999999999997e-7,5.388587083308575e-9
f,350,-12.5,3.4966665800000014e-7,7.894401699437744e-9,2.333333139999999e-7,6.267560680875637e-9
