contents,Es_keV,y_m,PrReach,uPrReach,PrDet,uPrDet
f,900,-0.5,0.0034380969999999985,2.099454337704514e-6,0.0023041335,1.7125762809974354e-6
f,900,0,0.003911757250000001,2.23727934066007e-6,0.0026274531500000003,1.8303058915464124e-6
f,950,-15,1.0778000000000007e-6,1.5058049245636038e-8,6.876000000000004e-7,1.1841607326879236e-8
f,950,-12.5,1.8533340049999997e-6,5.69106593150367e-8,1.218333315e-6,4.567324289525966e-8
f,950,-10,2.9400004500000004e-6,7.164711322096337e-8,1.91833329e-6,5.703552941896774e-8
f,950,-7.5,5.669999999999997e-6,1.7203281057257653e-7,3.7e-6,1.3729266664410735e-7
f,950,-5,1.3805000000000018e-5,2.668081406647857e-7,9.010000000000019e-6,2.1541820569824177e-7
f,950,-2.5,2.4575875e-4,5.644301774037386e-7,1.5642374999999992e-4,4.4872011944604386e-7
f,950,-2,5.9818625e-4,8.796969096734576e-7,3.8755499999999993e-4,7.053219453859797e-7
f,950,-1.5,0.00134332225,1.315998900552411e-6,8.850689999999998e-4,1.065857625784996e-6
f,950,-1,0.0025081159999999977,1.796967980460537e-6,0.001671568750000001,1.4636687893434143e-6
f,950,-0.5,0.0036835392500000007,2.179254548922146e-6,0.002473559,1.7747005900375716e-6
f,950,0,0.004185895499999999,2.321148023801547e-6,0.002817287750000001,1.8961914442307606e-6
f,1000,-15,1.1401666209999996e-6,1.411465156603029e-8,7.321668225000004e-7,1.116138174700344e-8
f,1000,-12.5,1.963332675e-6,5.835164545344981e-8,1.2716667649999999e-6,4.6459388430861074e-8
f,1000,-10,3.2166679e-6,7.483658244624376e-8,2.1233337700000004e-6,6.027486739055351e-8
f,1000,-7.5,6.164999999999998e-6,1.795118455673608e-7,3.9599999999999985e-6,1.4282823947402693e-7
f,1000,-5,1.499000000000002e-5,2.7810791304905374e-7,9.73000000000001e-6,2.254996843922403e-7
f,1000,-2.5,2.703350000000003e-4,5.912694728713355e-7,1.7220500000000006e-4,4.7085989237009914e-7
f,1000,-2,6.515212500000002e-4,9.174432987541553e-7,4.229075e-4,7.371137370880149e-7
f,1000,-1.5,0.0014498077500000003,1.3684859234149263e-6,9.572150000000006e-4,1.109188414051569e-6
f,1000,-1,0.00268483375,1.8582478035044426e-6,0.0017936164999999994,1.5153505567078853e-6
f,1000,-0.5,0.003923248500000002,2.2460905084910896e-6,0.0026409040000000008,1.8351898680120102e-6
f,1000,0,0.004451583749999998,2.386702302170759e-6,0.003002948999999999,1.956902413846055e-6
f,1022,-15,1.1879997334999998e-6,1.4424998394508488e-8,7.610001009999997e-7,1.1381063321322253e-8
f,1022,-12.5,2.0850001299999994e-6,6.039451579817167e-8,1.3516668449999998e-6,4.78703399441178e-8
f,1022,-10,3.361667815e-6,7.625298576390812e-8,2.1933336899999994e-6,6.101315303079346e-8
f,1022,-7.5,6.369999999999998e-6,1.8153183482312406e-7,4.1349999999999985e-6,1.4517013170845438e-7
f,1022,-5,1.535000000000002e-5,2.819570208928127e-7,1.0015000000000017e-5,2.2907025622011687e-7
f,1022,-2.5,2.8196375e-4,6.041858517701993e-7,1.7982374999999995e-4,4.812753712893354e-7
f,1022,-2,6.7647375e-4,9.343503526607739e-7,4.3955500000000006e-4,7.519261790725471e-7
f,1022,-1.5,0.0014987387500000006,1.3891688837863857e-6,9.9060825e-4,1.1281167286092271e-6
f,1022,-1,0.0027648834999999994,1.8848103581089276e-6,0.00184833385,1.5393338547466547e-6
f,1022,-0.5,0.0040321307500000006,2.277185708519193e-6,0.0027164483999999973,1.867956918788582e-6
f,1022,0,0.004572246749999997,2.426181194206397e-6,0.0030873712500000014,1.9885776649944423e-6
f,1050,-15,1.2483340529999997e-6,1.474662193776698e-8,8.064999899999997e-7,1.1685150980648874e-8
f,1050,-12.5,2.194999524999999e-6,6.193658671053363e-8,1.4166673999999992e-6,4.921463202706848e-8
f,1050,-10,3.384999790000001e-6,7.654205454780701e-8,2.2166671999999995e-6,6.142033094811112e-8
f,1050,-7.5,6.669999999999997e-6,1.8613198263866422e-7,4.339999999999997e-6,1.4832339134556621e-7
f,1050,-5,1.6275000000000023e-5,2.900269117426864e-7,1.0680000000000013e-5,2.364512433055703e-7
f,1050,-2.5,2.960400000000003e-4,6.185304480656905e-7,1.8916374999999983e-4,4.939403327487575e-7
f,1050,-2,7.064550000000004e-4,9.553378311727527e-7,4.5976749999999977e-4,7.692766591039131e-7
f,1050,-1.5,0.001557441500000001,1.4170036415957455e-6,0.0010315777499999997,1.1499282569828047e-6
f,1050,-1,0.002863807,1.919383302654177e-6,0.00191758125,1.5649126665629405e-6
f,1050,-0.5,0.004169537750000002,2.3202979799944743e-6,0.00281334915,1.8962309139713225e-6
f,1050,0,0.004725824500000001,2.468656281722542e-6,0.003195504750000002,2.032906800997445e-6
f,1100,-15,1.3273332759999996e-6,1.518149180463575e-8,8.608333350000001e-7,1.2127018910795942e-8
f,1100,-12.5,2.1616665199999992e-6,6.107382130696427e-8,1.4383335249999998e-6,4.952682031544252e-8
f,1100,-10,3.81166519e-6,8.11535617626633e-8,2.4799998449999997e-6,6.510475938415549e-8
f,1100,-7.5,7.134999999999998e-6,1.921529053403825e-7,4.694999999999998e-6,1.5613428177053235e-7
f,1100,-5,1.7475000000000025e-5,2.9979858713101046e-7,1.1385000000000017e-5,2.4201542030364527e-7
f,1100,-2.5,3.213400000000002e-4,6.443680085818949e-7,2.058375e-4,5.154089104556932e-7
f,1100,-2,7.605374999999996e-4,9.906725279488726e-7,4.959174999999999e-4,7.98655301692056e-7
f,1100,-1.5,0.001664853999999999,1.4631843124032697e-6,0.0011051190000000001,1.194323922985364e-6
f,1100,-1,0.0030414279999999997,1.976483576517969e-6,0.0020412487500000016,1.6165233660372863e-6
f,1100,-0.5,0.004414011500000001,2.381270407537677e-6,0.0029840735,1.952696429925958e-6
f,1100,0,0.00499741125,2.531035075435521e-6,0.0033855670000000012,2.0893207237988435e-6
f,1150,-15,1.3833334959999989e-6,1.5507255908682126e-8,8.953337744999997e-7,1.2382304958561321e-8
f,1150,-12.5,2.286667134999999e-6,6.342217964064797e-8,1.491666365e-6,5.025071668835955e-8
f,1150,-10,4.063333135e-6,8.36677593253905e-8,2.638333374999999e-6,6.706009013201599e-8
f,1150,-7.5,7.755000000000008e-6,1.9969399128854626e-7,5.029999999999996e-6,1.6015425358931302e-7
f,1150,-5,1.853500000000003e-5,3.090870291900001e-7,1.2012500000000018e-5,2.490316867935687e-7
f,1150,-2.5,3.469437499999999e-4,6.689994107972461e-7,2.2314937500000014e-4,5.370479191044554e-7
f,1150,-2,8.1624125e-4,1.0252094018721323e-6,5.339043499999998e-4,8.307238592586837e-7
f,1150,-1.5,0.00177279125,1.5077425277744716e-6,0.001179458149999999,1.23140226979128e-6
f,1150,-1,0.003217688000000002,2.033137852680093e-6,0.0021650147500000007,1.6667886895988546e-6
f,1150,-0.5,0.004656165749999997,2.4466929539254156e-6,0.0031544328999999973,2.0217583721020434e-6
f,1150,0,0.005265223499999999,2.6001864122254725e-6,0.0035738587499999975,2.142923839575648e-6
f,1173,-15,1.4315002584999998e-6,1.5778374159297543e-8,9.288335470000003e-7,1.2581214538714623e-8
f,1173,-12.5,2.2583329849999997e-6,6.251574142403589e-8,1.47999943e-6,5.0055849055058673e-8
f,1173,-10,4.263332730000001e-6,8.563479906355872e-8,2.734999689999999e-6,6.821356449042416e-8
f,1173,-7.5,7.830000000000008e-6,2.0024822596155498e-7,5.064999999999996e-6,1.610132373696336e-7
f,1173,-5,1.8720000000000024e-5,3.104683581570754e-7,1.211750000000001e-5,2.5071289669809567e-7
f,1173,-2.5,3.5960125000000006e-4,6.811360176523459e-7,2.3182562500000006e-4,5.476496880863267e-7
f,1173,-2,8.429562500000003e-4,1.0419438431617022e-6,5.520856500000006e-4,8.44677789658981e-7
f,1173,-1.5,0.0018226112499999999,1.5312124177676163e-6,0.0012136621499999995,1.2511130210258033e-6
f,1173,-1,0.0032979147500000017,2.0582331666024965e-6,0.0022207943,1.6904657177764664e-6
f,1173,-0.5,0.004764075000000001,2.4729070576752256e-6,0.0032301876499999977,2.031990310968358e-6
f,1173,0,0.0053854509999999994,2.634121293972028e-6,0.00365906475,2.169273620427427e-6
f,1200,-15,1.4886666554999988e-6,1.6093496407584965e-8,9.590001204999996e-7,1.2808638731638154e-8
f,1200,-12.5,2.4249999999999984e-6,1.130295793995979e-7,1.6099999999999996e-6,9.027893237350563e-8
f,1200,-10,4.464999999999996e-6,1.5140972712065097e-7,2.835e-6,1.1989218382154859e-7
f,1200,-7.5,8.025000000000015e-6,2.0316552998971058e-7,5.214999999999996e-6,1.6331854115960005e-7
f,1200,-5,1.967000000000003e-5,3.185818224122338e-7,1.2897500000000022e-5,2.5952221645602923e-7
f,1200,-2.5,3.745537499999997e-4,6.949706080044749e-7,2.4171247500000013e-4,5.593445856807291e-7
f,1200,-2,8.744325e-4,1.0610832332856904e-6,5.733656000000003e-4,8.602578841990795e-7
f,1200,-1.5,0.0018821015000000001,1.555443031904311e-6,0.0012553323999999998,1.2725973029378034e-6
f,1200,-1,0.0033938014999999994,2.0835494418613314e-6,0.00228840425,1.7120121733100751e-6
f,1200,-0.5,0.004891429,2.5075800726696385e-6,0.0033205529999999987,2.0652902479194617e-6
f,1200,0,0.005525147250000002,2.6620064274259384e-6,0.0037586379999999977,2.1938813624159137e-6
f,1250,-15,1.5758335699999996e-6,1.6552669011151976e-8,1.0128328274999998e-6,1.3189977340811118e-8
f,1250,-12.5,2.5649999999999987e-6,1.1715557066994296e-7,1.625e-6,9.151739343835139e-8
f,1250,-10,4.509999999999996e-6,1.516543710596565e-7,2.8699999999999988e-6,1.2020546407505768e-7
f,1250,-7.5,8.61500000000001e-6,2.1029793950666746e-7,5.569999999999999e-6,1.6867092747492077e-7
f,1250,-5,2.127000000000005e-5,3.3093962518751064e-7,1.3942500000000024e-5,2.688388310224178e-7
f,1250,-2.5,4.0202875000000006e-4,7.196504648251557e-7,2.6001567499999996e-4,5.800740969095967e-7
f,1250,-2,9.319062499999999e-4,1.0943644721183715e-6,6.125825250000001e-4,8.888556621782782e-7
f,1250,-1.5,0.00199004325,1.5997569490550342e-6,0.0013301388000000003,1.3081437865761525e-6
f,1250,-1,0.003567526000000001,2.140814585817334e-6,0.0024111563000000016,1.7679546183964158e-6
f,1250,-0.5,0.0051270139999999974,2.5651441996013186e-6,0.0034872247000000012,2.1167552255429522e-6
f,1250,0,0.005785018500000003,2.719566921961013e-6,0.0039434922,2.2588638844175745e-6
f,1300,-15,1.6001659239999992e-6,1.668854493374785e-8,1.0300002589999988e-6,1.3244919879630194e-8
f,1300,-12.5,2.679999999999999e-6,1.1979498637568267e-7,1.7449999999999998e-6,9.500425757564763e-8
f,1300,-10,4.5099999999999975e-6,1.5263931036515453e-7,2.8849999999999986e-6,1.2052122630163529e-7
f,1300,-7.5,9.095000000000022e-6,2.1557636073036849e-7,5.899999999999997e-6,1.736273596470325e-7
f,1300,-5,2.2515000000000028e-5,3.4091287407855394e-7,1.4735000000000038e-5,2.753617786045299e-7
f,1300,-2.5,4.3016125000000017e-4,7.434052891242163e-7,2.790063249999999e-4,6.012036421107916e-7
f,1300,-2,9.8961375e-4,1.127756595460915e-6,6.519894500000003e-4,9.176642292856667e-7
f,1300,-1.5,0.0020987197500000007,1.6417637828667405e-6,0.00140634465,1.346739218419114e-6
f,1300,-1,0.0037432162500000026,2.191920542887877e-6,0.00253554015,1.811179228102645e-6
f,1300,-0.5,0.005361415500000001,2.6256138991110033e-6,0.0036546713999999992,2.173447525397195e-6
f,1300,0,0.006044761500000007,2.7850837576306928e-6,0.004129719000000001,2.3047634442874774e-6
f,1332,-15,1.6555004314999987e-6,1.697110821363428e-8,1.0696667304999984e-6,1.3518628068916677e-8
f,1332,-12.5,2.5549999999999984e-6,1.1672324022554377e-7,1.6799999999999992e-6,9.300631510682487e-8
f,1332,-10,4.949999999999997e-6,1.598368188982125e-7,3.1749999999999967e-6,1.2698020749313641e-7
f,1332,-7.5,9.320000000000016e-6,2.1806195309189082e-7,6.054999999999999e-6,1.764350071931588e-7
f,1332,-5,2.379500000000002e-5,3.501385460139314e-7,1.545000000000003e-5,2.824601530866788e-7
f,1332,-2.5,4.4930499999999994e-4,1.5208561233611159e-6,2.920374999999999e-4,1.231929255326706e-6
f,1332,-2,0.0010249849999999995,2.294588101736018e-6,6.769200000000005e-4,1.8729189775113068e-6
f,1332,-1.5,0.0021667849999999983,3.3341307324998533e-6,0.0014558625000000004,2.7445928282150174e-6
f,1332,-1,0.0038525750000000004,4.445243490389587e-6,0.002612907499999999,3.673448100017789e-6
f,1332,-0.5,0.0055091500000000035,5.3132458867512446e-6,0.0037597825000000003,4.408818438499375e-6
f,1332,0,0.006203155000000003,5.635912509938476e-6,0.004243037499999999,4.685328940982057e-6
f,1350,-15,1.6896663199999997e-6,1.714869799465919e-8,1.0883326015e-6,1.363382310277416e-8
f,1350,-12.5,2.819999999999999e-6,1.2227130040610505e-7,1.8299999999999994e-6,9.721229323367494e-8
f,1350,-10,4.859999999999997e-6,1.5841793548869392e-7,3.1199999999999985e-6,1.2608964572676048e-7
f,1350,-7.5,9.335000000000013e-6,2.182263933573343e-7,6.069999999999997e-6,1.7662785408026676e-7
f,1350,-5,2.3885000000000023e-5,3.5036881125108726e-7,1.551500000000003e-5,2.836952416317555e-7
f,1350,-2.5,4.595049999999999e-4,1.5370736486913205e-6,2.989275000000004e-4,1.2466548071482142e-6
f,1350,-2,0.0010442649999999993,2.316411084151677e-6,6.898300000000001e-4,1.8905952619445682e-6
f,1350,-1.5,0.002203105000000002,3.3640983655681054e-6,0.0014812775000000006,2.767795072079624e-6
f,1350,-1,0.003912475000000001,4.47918439477317e-6,0.0026560725000000012,3.7060127463003956e-6
f,1350,-0.5,0.005590829999999999,5.354301168439748e-6,0.0038193650000000008,4.436017493199595e-6
f,1350,0,0.0062919699999999966,5.6797634117479985e-6,0.004309224999999997,4.718053840636093e-6
f,1400,-15,1.7384999444999997e-6,1.7366402478040726e-8,1.1296668574999994e-6,1.3905245426056654e-8
f,1400,-12.5,3.1249999999999985e-6,1.2835262024886747e-7,1.9699999999999998e-6,1.0050073013665124e-7
f,1400,-10,5.079999999999998e-6,1.6170429512539234e-7,3.2649999999999997e-6,1.295185515177265e-7
f,1400,-7.5,1.0100000000000018e-5,2.2717203040977558e-7,6.559999999999997e-6,1.835681534995926e-7
f,1400,-5,2.5610000000000034e-5,3.617779720951098e-7,1.6525000000000032e-5,2.9275796109585146e-7
f,1400,-2.5,4.8772500000000016e-4,1.5834847918316897e-6,3.185749999999998e-4,1.2885004068124357e-6
f,1400,-2,0.0011022949999999999,2.3797376369937814e-6,7.304025000000001e-4,1.947191344755505e-6
f,1400,-1.5,0.0023098,3.441528265243691e-6,0.001555740000000001,2.8393522229609877e-6
f,1400,-1,0.004083304999999998,4.576136819632635e-6,0.0027773700000000025,3.7908787943872918e-6
f,1400,-0.5,0.00581605,5.456000186926981e-6,0.003981872499999999,4.534509662606946e-6
f,1400,0,0.006543700000000002,5.7881180405111834e-6,0.0044903199999999956,4.811229840021911e-6
f,1450,-15,1.8423342689999992e-6,1.7890139556740143e-8,1.1909999589999999e-6,1.4295042059836317e-8
f,1450,-12.5,2.969999999999999e-6,1.240949584834129e-7,1.924999999999999e-6,9.861695826023026e-8
f,1450,-10,5.229999999999996e-6,1.6386031553963875e-7,3.3599999999999983e-6,1.319104915880461e-7
f,1450,-7.5,1.0315000000000012e-5,2.2984966722838647e-7,6.789999999999999e-6,1.8640410599420814e-7
f,1450,-5,2.659000000000004e-5,3.695617762052779e-7,1.7265000000000035e-5,3.0012169408591574e-7
f,1450,-2.5,5.1998e-4,1.6351615186725437e-6,3.4032999999999985e-4,1.332049957677264e-6
f,1450,-2,0.0011674600000000004,2.448880863506686e-6,7.748850000000003e-4,2.005536274335901e-6
f,1450,-1.5,0.0024216300000000006,3.5232633342851697e-6,0.0016340724999999992,2.911411842111026e-6
f,1450,-1,0.004254010000000001,4.6668385167907835e-6,0.0028995149999999983,3.874664568951291e-6
f,1450,-0.5,0.006040319999999992,5.561473180818079e-6,0.0041436100000000016,4.629723279147207e-6
f,1450,0,0.006790180000000002,5.8987504499456525e-6,0.004669267499999999,4.917022986206319e-6
f,1500,-15,1.9253337835000026e-06,1.8267683604625598e-8,1.2409996574999995e-6,1.4578913797509867e-8
f,1500,-12.5,3.1849999999999996e-6,1.2913347128068685e-7,1.999999999999999e-6,1.0025182963168306e-7
f,1500,-10,5.499999999999996e-6,1.68085528151593e-7,3.6599999999999976e-6,1.372970427267098e-7
f,1500,-7.5,1.110500000000002e-5,2.3786184689436844e-7,7.3149999999999986e-6,1.9448305162789886e-7
f,1500,-5,2.8550000000000033e-5,3.823145593385766e-7,1.8565000000000026e-5,3.1124962766483776e-7
f,1500,-2.5,5.51555e-4,1.6836699476557882e-6,3.6094250000000017e-4,1.3704035849785269e-6
f,1500,-2,0.0012282500000000004,2.5101864571037353e-6,8.170350000000004e-4,2.0614799177878105e-6
f,1500,-1.5,0.002527985000000002,3.6007508401206762e-6,0.0017095450000000005,2.9763937120963717e-6
f,1500,-1,0.004419600000000003,4.757300600161688e-6,0.003019015000000001,3.956990070925406e-6
f,1500,-0.5,0.006260574999999999,5.660065565784156e-6,0.004303397500000001,4.723417672444663e-6
f,1500,0,0.007033510000000003,5.9954507401050576e-6,0.004847122499999999,5.010354156295049e-6
f,1550,-15,1.9691667750000017e-6,1.8474863054757005e-8,1.2786670824999986e-6,1.4796562951264262e-8
f,1550,-12.5,3.2649999999999984e-6,1.3086444505670737e-7,2.1399999999999994e-6,1.0488118845507996e-7
f,1550,-10,5.804999999999998e-6,1.7385264301053917e-7,3.839999999999999e-6,1.4247840968634504e-7
f,1550,-7.5,1.0905000000000015e-5,2.3647195583197598e-7,7.124999999999997e-6,1.9138751912219874e-7
f,1550,-5,3.0205000000000017e-5,3.944363189090225e-7,1.9450000000000053e-5,3.175068460584748e-7
f,1550,-2.5,5.817000000000005e-4,1.728044954784018e-6,3.8119000000000016e-4,1.4086445140362776e-6
f,1550,-2,0.0012852349999999996,2.5674295630393633e-6,8.567225000000001e-4,2.111603060434833e-6
f,1550,-1.5,0.002634669999999999,3.671248802092995e-6,0.0017837575000000006,3.046549394082643e-6
f,1550,-1,0.00458404,4.844004781919474e-6,0.003135669999999999,4.034440576080002e-6
f,1550,-0.5,0.006484749999999999,5.755619232928307e-6,0.0044626375,4.8049899248151e-6
f,1550,0,0.007290410000000003,6.1064720715183426e-6,0.0050297575,5.111446642830315e-6
f,1600,-15,2.031333156000003e-6,1.8757719034417418e-8,1.312499299499999e-6,1.4973232545243793e-8
f,1600,-12.5,3.285e-6,1.3067707955108265e-7,2.189999999999999e-6,1.0630095368222245e-7
f,1600,-10,5.779999999999998e-6,1.7247980909877533e-7,3.874999999999997e-6,1.425645057140801e-7
f,1600,-7.5,1.1250000000000014e-5,2.4029710939740837e-7,7.429999999999997e-6,1.9544880792806076e-7
f,1600,-5,3.170499999999999e-5,4.039345632766526e-7,2.041500000000003e-5,3.2465483219875235e-7
f,1600,-2.5,6.110250000000001e-4,1.7709571528516021e-6,4.016624999999999e-4,1.4467143451117955e-6
f,1600,-2,0.00134913,2.6275146027628477e-6,9.015024999999995e-4,2.165364829867012e-6
f,1600,-1.5,0.002745525000000002,3.7491180668709607e-6,0.0018632450000000012,3.1126150397198676e-6
f,1600,-1,0.0047539950000000004,4.9325613445146305e-6,0.0032596475,4.118224023128424e-6
f,1600,-0.5,0.0067042900000000025,5.857516412388104e-6,0.004624175,4.890526252750579e-6
f,1600,0,0.00752609,6.20978690470565e-6,0.0052037449999999975,5.200591205308892e-6
f,1650,-15,2.1526666760000017e-6,1.931713279790539e-8,1.3836667939999985e-6,1.538728797675138e-8
f,1650,-12.5,3.55e-6,1.3583009885791137e-7,2.2749999999999985e-6,1.07586351467089e-7
f,1650,-10,6.1649999999999986e-6,1.7894106813208083e-7,4.0799999999999965e-6,1.4543221446949084e-7
f,1650,-7.5,1.180000000000002e-5,2.468916585807427e-7,7.6850000000000035e-06,1.9856429341903337e-7
f,1650,-5,3.345500000000003e-5,4.1519763343798105e-7,2.1360000000000043e-5,3.335245978278814e-7
f,1650,-2.5,6.442449999999997e-4,1.816783983980071e-6,4.238849999999998e-4,1.486090334528638e-6
f,1650,-2,0.0014117049999999996,2.689377799975443e-6,9.444750000000002e-4,2.2174003802248646e-6
f,1650,-1.5,0.0028539400000000014,3.8220735525230945e-6,0.0019403500000000002,3.1761871387747293e-6
f,1650,-1,0.0049214550000000025,5.013826702724976e-6,0.003380285,4.196684683529227e-6
f,1650,-0.5,0.006921514999999998,5.951904376847759e-6,0.004782652499999998,4.996650767405341e-6
f,1650,0,0.007762,6.296229878887485e-6,0.0053771299999999965,5.281118090494106e-6
f,1700,-15,2.210166992000003e-6,1.9571607494033097e-8,1.434999142499998e-6,1.5710883483356823e-8
f,1700,-12.5,3.4949999999999983e-6,1.344432863096926e-7,2.274999999999998e-6,1.0782046950254855e-7
f,1700,-10,6.579999999999997e-6,1.8506374193031432e-7,4.324999999999995e-6,1.495829606806871e-7
f,1700,-7.5,1.1960000000000016e-5,2.4868442585634527e-7,7.85000000000001e-6,2.011239943156957e-7
f,1700,-5,3.515499999999998e-5,4.2537588046749903e-7,2.2505000000000016e-5,3.430406245935017e-7
f,1700,-2.5,6.766600000000007e-4,1.861618269786666e-6,4.46925e-4,1.5278287328475747e-6
f,1700,-2,0.0014722849999999996,2.7461987967179277e-6,9.874075000000002e-4,2.2681866853345793e-6
f,1700,-1.5,0.0029589049999999987,3.8911329969273085e-6,0.0020155599999999996,3.2436622505016413e-6
f,1700,-1,0.005088470000000001,5.096053622357378e-6,0.003501170000000001,4.2771960906758835e-6
f,1700,-0.5,0.007137964999999998,6.037453225870776e-6,0.004940847499999998,5.0744783613982826e-6
f,1700,0,0.00799903,6.40904617897882e-6,0.005550534999999997,5.387464966378268e-6
f,1750,-15,2.2811669305000022e-6,1.986347525579527e-8,1.476332964999999e-6,1.5952676132707123e-8
f,1750,-12.5,3.5899999999999987e-6,1.358318206478143e-7,2.309999999999999e-6,1.1045335080249942e-7
f,1750,-10,6.6099999999999985e-6,1.8601584766156343e-7,4.389999999999997e-6,1.501574554875647e-7
f,1750,-7.5,1.2990000000000023e-5,2.5942315241271376e-7,8.575000000000019e-6,2.1123803933122457e-7
f,1750,-5,3.617500000000001e-5,4.3232773606721116e-7,2.3262500000000044e-5,3.480549509848444e-7
f,1750,-2.5,7.082649999999998e-4,1.9045693602268722e-6,4.6836249999999984e-4,1.5641798667273095e-6
f,1750,-2,0.0015334950000000006,2.8020839730693746e-6,0.0010311275000000003,2.32103057143116e-6
f,1750,-1.5,0.0030655700000000005,3.963460141345092e-6,0.002094539999999998,3.302291103967734e-6
f,1750,-1,0.0052440899999999955,5.180497387010487e-6,0.003615276250000001,4.3440579245329395e-6
f,1750,-0.5,0.0073376750000000044,6.122354093597516e-6,0.005088995000000001,5.144054969403649e-6
f,1750,0,0.008222165000000007,6.47302316155336e-6,0.005715540000000004,5.4582461298057e-6
f,1800,-15,2.3411676130000037e-6,2.0126002232169443e-8,1.5105005089999977e-6,1.6067920574488483e-8
f,1800,-12.5,3.7099999999999988e-6,1.3819888850131888e-7,2.3849999999999975e-6,1.1079565850587288e-7
f,1800,-10,7.089999999999997e-6,1.933931610146801e-7,4.674999999999996e-6,1.5466631623352891e-7
f,1800,-7.5,1.3590000000000026e-5,2.6513231025188177e-7,8.910000000000015e-6,2.1506099356636008e-7
f,1800,-5,3.793e-5,4.425960966620696e-7,2.443000000000004e-5,3.578905908926637e-7
f,1800,-2.5,7.371599999999996e-4,1.942784189589003e-6,4.89775e-4,1.6009216746738616e-6
f,1800,-2,0.0015937450000000004,2.8558283662676146e-6,0.0010746924999999999,2.370146070798182e-6
f,1800,-1.5,0.003169915000000002,4.026776263564906e-6,0.0021696475000000017,3.3656438221454656e-6
f,1800,-1,0.005408404999999999,5.252491102246198e-6,0.0037334087499999976,4.414369751555357e-6
f,1800,-0.5,0.007549940000000003,6.211820152086039e-6,0.005244935000000003,5.217094819569534e-6
f,1800,0,0.008454294999999999,6.566817155994085e-6,0.005887797500000004,5.53534298505211e-6
f,1850,-15,2.3939999875000056e-6,2.0362747806775163e-8,1.552916202499999e-6,1.6348516783950825e-8
f,1850,-12.5,4.104999999999996e-6,1.458515185428317e-7,2.689999999999999e-6,1.1725760933304073e-7
f,1850,-10,7.114999999999995e-6,1.9253575581628982e-7,4.634999999999996e-6,1.545196972759459e-7
f,1850,-7.5,1.413000000000002e-5,2.6916095005544557e-07,9.225000000000026e-6,2.1857495234873082e-7
f,1850,-5,3.9165000000000016e-05,4.492547999440297e-7,2.5110000000000073e-5,3.639339999474495e-7
f,1850,-2.5,7.718499999999995e-4,1.9863491217431415e-6,5.134499999999998e-4,1.6383428233630998e-6
f,1850,-2,0.001655409999999999,2.9085301164671215e-6,0.0011170225,2.416134372309025e-6
f,1850,-1.5,0.003275785,4.091294297809559e-6,0.002246064999999999,3.429713168908726e-6
f,1850,-1,0.005568634999999999,5.329255534040097e-6,0.003848818749999999,4.481796714085722e-6
f,1850,-0.5,0.007753485,6.2933362507020086e-6,0.005396522500000002,5.314097259663282e-6
f,1850,0,0.008672665000000005,6.6603585774399944e-6,0.006052892499999994,5.633374173447042e-6
f,1900,-15,2.4406673225000027e-6,2.0536741867041712e-8,1.578083693499999e-6,1.645555365853126e-8
f,1900,-12.5,3.929999999999998e-6,1.4247638738489258e-7,2.5849999999999985e-6,1.1500374954430833e-7
f,1900,-10,7.204999999999997e-6,1.930647251700837e-7,4.649999999999998e-6,1.5540934494987735e-7
f,1900,-7.5,1.4490000000000029e-5,2.731226374685007e-7,9.445000000000017e-6,2.2005916723349646e-7
f,1900,-5,4.075e-5,4.575313588711709e-7,2.602500000000007e-5,3.7001537188651047e-7
f,1900,-2.5,8.052749999999998e-4,2.0292761952839245e-6,5.373000000000003e-4,1.6795250269218597e-6
f,1900,-2,0.0017208650000000007,2.9649862385873744e-6,0.0011642450000000008,2.469520271629695e-6
f,1900,-1.5,0.0033859899999999993,4.159873034955754e-6,0.0023270700000000005,3.4887039491290594e-6
f,1900,-1,0.005724455000000003,5.4123201650557865e-6,0.003967768749999998,4.550203544068171e-6
f,1900,-0.5,0.007954235000000002,6.3746483000836e-6,0.005548719999999999,5.37943252405155e-6
f,1900,0,0.008894444999999997,6.726804867071665e-6,0.006218180000000001,5.697725838918353e-6
f,1950,-15,2.5244994895000034e-6,2.0882751059561513e-8,1.629750178499998e-6,1.6737482285967264e-8
f,1950,-12.5,4.279999999999999e-6,1.48329857482403e-7,2.7699999999999985e-6,1.1874487868430371e-7
f,1950,-10,7.5249999999999966e-6,1.9653023919234402e-7,4.804999999999998e-6,1.5708006272917e-7
f,1950,-7.5,1.4900000000000023e-5,2.764059608433763e-7,9.710000000000026e-6,2.2427177687796558e-7
f,1950,-5,4.225000000000005e-5,4.6589400169432324e-7,2.728750000000002e-5,3.788356630093715e-7
f,1950,-2.5,8.355099999999997e-4,2.0666544058139603e-6,5.591950000000007e-4,1.71472274766646e-6
f,1950,-2,0.0017820650000000004,3.0180740706227705e-6,0.0012066374999999995,2.516524855296002e-6
f,1950,-1.5,0.0034935300000000008,4.2253282123258784e-6,0.0024043125000000032,3.5447279048714035e-6
f,1950,-1,0.005887789999999999,5.482229083752567e-6,0.004086887500000002,4.622172282289153e-6
f,1950,-0.5,0.008167460000000001,6.466404635341167e-6,0.0057039425000000015,5.477323354075493e-6
f,1950,0,0.009117245000000001,6.812258374188914e-6,0.006383627500000004,5.793238533534551e-6
